Key,press_time,release_time,platform_ids,session_id,user_ids
'r',1.719248212223431e+18,71986176,1,1,36
'a',1.719248212432007e+18,97001984,1,1,36
'i',1.719248212521304e+18,90152960,1,1,36
'n',1.719248212697784e+18,94377984,1,1,36
'e',1.719248212788182e+18,81115904,1,1,36
Key.space,1.719248212932833e+18,103407872,1,1,36
'a',1.719248213136938e+18,59457024,1,1,36
'n',1.719248213220415e+18,111678976,1,1,36
'd',1.719248213348817e+18,82834176,1,1,36
Key.space,1.719248213467416e+18,118710016,1,1,36
'r',1.719248213757235e+18,91218944,1,1,36
'e',1.719248213819818e+18,98851072,1,1,36
't',1.719248214106621e+18,74501120,1,1,36
'a',1.719248214338076e+18,91527168,1,1,36
'i',1.719248214394725e+18,88627968,1,1,36
'n',1.719248214558492e+18,106222080,1,1,36
Key.space,1.719248214725375e+18,89373952,1,1,36
't',1.719248214865594e+18,67355904,1,1,36
'h',1.71924821497228e+18,86087936,1,1,36
'e',1.719248215065114e+18,113656832,1,1,36
Key.space,1.719248215236661e+18,94941952,1,1,36
's',1.719248215555403e+18,85917952,1,1,36
'u',1.719248215830089e+18,78748160,1,1,36
'p',1.719248216021831e+18,65197056,1,1,36
'p',1.719248216154337e+18,96738048,1,1,36
'o',1.719248216302199e+18,100220928,1,1,36
'r',1.71924821643636e+18,58248960,1,1,36
't',1.719248216622615e+18,73913856,1,1,36
Key.space,1.719248216705085e+18,109815040,1,1,36
'o',1.719248216846323e+18,115276032,1,1,36
'f',1.719248217017123e+18,76928000,1,1,36
Key.space,1.719248217100276e+18,118674944,1,1,36
Key.shift,1.7192482174451e+18,235897088,1,1,36
'm',1.719248217766126e+18,128620032,1,1,36
'e',1.71924821794518e+18,137810176,1,1,36
'r',1.71924821804238e+18,95088896,1,1,36
'i',1.719248218295985e+18,90217984,1,1,36
'c',1.719248218406997e+18,79697920,1,1,36
'a',1.719248218597709e+18,91808000,1,1,36
'n',1.719248218697276e+18,118931200,1,1,36
's',1.719248218919929e+18,71201792,1,1,36
Key.space,1.719248219016164e+18,111949824,1,1,36
'i',1.719248220007768e+18,83677952,1,1,36
'n',1.719248220222658e+18,116936960,1,1,36
Key.space,1.719248220390436e+18,108407808,1,1,36
't',1.71924822144755e+18,80124928,1,1,36
'h',1.719248221549307e+18,99406080,1,1,36
'e',1.719248221711539e+18,95194112,1,1,36
Key.space,1.719248221807994e+18,107833856,1,1,36
'U',1.71924822228544e+18,86924032,1,1,36
Key.shift,1.719248222179761e+18,426328064,1,1,36
'n',1.719248222895155e+18,82767104,1,1,36
'i',1.719248223063355e+18,89780224,1,1,36
't',1.719248223180117e+18,59640064,1,1,36
'e',1.719248223354519e+18,72817920,1,1,36
'd',1.719248223510787e+18,83635968,1,1,36
Key.space,1.719248223610363e+18,115742208,1,1,36
Key.shift,1.719248223782053e+18,227350784,1,1,36
't',1.719248224197585e+18,72432128,1,1,36
'a',1.719248224463296e+18,72931072,1,1,36
't',1.71924822480956e+18,93999872,1,1,36
'e',1.719248224918265e+18,107996928,1,1,36
's',1.719248225164118e+18,69828096,1,1,36
"""'""",1.719248225529979e+18,104773120,1,1,36
Key.space,1.719248225725705e+18,100924928,1,1,36
'w',1.71924822614083e+18,74987008,1,1,36
'a',1.719248226434284e+18,75618048,1,1,36
'r',1.719248226619455e+18,81028096,1,1,36
Key.space,1.71924822671647e+18,97847040,1,1,36
'i',1.719248226843378e+18,98018048,1,1,36
Key.backspace,1.719248227304236e+18,88508928,1,1,36
Key.backspace,1.719248227484387e+18,73842944,1,1,36
Key.backspace,1.719248227645035e+18,89147904,1,1,36
Key.backspace,1.719248227815297e+18,82964992,1,1,36
Key.backspace,1.719248227986782e+18,70196992,1,1,36
'r',1.719248228123859e+18,70995968,1,1,36
'o',1.719248228219975e+18,114330112,1,1,36
'l',1.719248228458504e+18,120251136,1,1,36
'e',1.719248228554532e+18,79388928,1,1,36
Key.space,1.719248228670192e+18,125221888,1,1,36
'i',1.719248228794338e+18,99062016,1,1,36
'n',1.719248228923782e+18,105858048,1,1,36
Key.space,1.719248229043715e+18,96315904,1,1,36
't',1.719248229135723e+18,82935040,1,1,36
'h',1.719248229235487e+18,92852992,1,1,36
'e',1.71924822932658e+18,90308096,1,1,36
Key.space,1.719248229409564e+18,106180096,1,1,36
'c',1.719248229603555e+18,79176960,1,1,36
'o',1.71924822970093e+18,111207936,1,1,36
'n',1.719248229912206e+18,107717888,1,1,36
'f',1.719248230086204e+18,82139136,1,1,36
'l',1.71924823016635e+18,107513856,1,1,36
'i',1.719248230342634e+18,98843904,1,1,36
'c',1.71924823044892e+18,71877888,1,1,36
't',1.719248230692705e+18,62575872,1,1,36
'/',1.719248230791129e+18,75101952,1,1,36
Key.space,1.719248231034184e+18,93398016,1,1,36
Key.backspace,1.719248231764048e+18,104894208,1,1,36
Key.backspace,1.719248231961065e+18,78526976,1,1,36
'.',1.719248232159073e+18,75375872,1,1,36
Key.shift,1.719248248764879e+18,317103872,1,1,36
'h',1.719248249114524e+18,81361152,1,1,36
'o',1.719248249336897e+18,82892032,1,1,36
's',1.719248249423302e+18,72433152,1,1,36
Key.backspace,1.719248249730765e+18,73874944,1,1,36
Key.backspace,1.719248249885508e+18,93286912,1,1,36
'i',1.719248250090915e+18,79363840,1,1,36
's',1.719248250182405e+18,79589888,1,1,36
Key.space,1.719248250262607e+18,130436864,1,1,36
's',1.719248250596359e+18,67883008,1,1,36
'e',1.719248250789106e+18,50891008,1,1,36
'e',1.719248250898607e+18,81935872,1,1,36
'm',1.719248251000462e+18,113655808,1,1,36
's',1.71924825111919e+18,78002944,1,1,36
Key.space,1.719248251238967e+18,93112064,1,1,36
'l',1.719248251648087e+18,90317056,1,1,36
'i',1.719248251804904e+18,77072128,1,1,36
'k',1.719248251998499e+18,83033856,1,1,36
'e',1.719248252108405e+18,64840960,1,1,36
Key.space,1.719248252220595e+18,93700096,1,1,36
'a',1.719248252496254e+18,88568064,1,1,36
Key.space,1.719248252603723e+18,101824000,1,1,36
'm',1.719248252842102e+18,100145920,1,1,36
'e',1.719248252911114e+18,62692096,1,1,36
'a',1.719248253115438e+18,147979008,1,1,36
's',1.719248253235806e+18,78860032,1,1,36
'u',1.71924825336296e+18,81593088,1,1,36
'r',1.719248253516468e+18,96087040,1,1,36
'e',1.719248253564585e+18,105752064,1,1,36
'd',1.719248253763706e+18,73665792,1,1,36
Key.space,1.719248253859006e+18,109288960,1,1,36
Key.backspace,1.719248254445676e+18,95494912,1,1,36
'd',1.719248254631837e+18,67108096,1,1,36
'e',1.719248254854627e+18,40152832,1,1,36
